,,comp_name,"Cryptoxanthin, beta",Sucrose,Glucose (dextrose),Fructose,Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,Hydroxyproline,4:0,6:0,8:0,"20:2 n-6 c,c","18:2 n-6 c,c","18:3 n-3 c,c,c (ALA)",Vitamin E (alpha-tocopherol),"Tocopherol, delta","Tocotrienol, alpha","Tocotrienol, gamma",Thiamin,Niacin,Vitamin B-6,"Choline, total",Betaine,Stigmasterol,Beta-sitosterol,Daidzein,Genistein,Glycitein,(+)-Catechin,(-)-Epicatechin,Apigenin,Luteolin
"Mothbeans, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.147,0,1.138,1.541,1.248,0.22,0.117,1.028,0,0.734,0,0.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000562,0.0028,0.000366,0,0,0,0,0,0,0,0,0,0,0
"Mung beans, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.26,0.782,1.008,1.847,1.664,0.286,0.21,1.443,0.714,1.237,1.672,0.695,1.05,2.756,4.264,0.954,1.095,1.176,0,0,0,0,0,0,0,0.00051,0,0,0,0.000621,0.002251,0.000382,0.0979,0,0,0,3.08E-06,8.50E-05,0,0,0,0,0
"Kala chana, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00064,0,0,0,0,0
"Beans, red, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155,0,0,0,0,0
"Beans, navy, mature seeds, raw",Legumes and Legume Products,,0,3.33,0.21,0,0.247,0.711,0.952,1.723,1.28,0.273,0.187,1.158,0.484,1.241,1.02,0.507,0.908,2.598,3.098,0.801,1.117,1.18,0,0,0,0,0,0,0.538,2.00E-05,0.00017,0,0,0.000775,0.002188,0.000428,0.0874,0.0001,0,0,7.00E-06,0.000204,0,0,0,0,0
"Beans, pink, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.248,0.882,0.925,1.673,1.438,0.315,0.228,1.133,0.59,1.096,1.298,0.583,0.878,2.535,3.195,0.818,0.889,1.14,0,0,0,0,0,0,0,0.00021,0,0,0,0.000772,0.001892,0.000527,0.0672,0,0,0,0,0,0,0.00514,0.00014,0,0
"Mungo beans, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.263,0.875,1.287,2.089,1.674,0.367,0.234,1.473,0.783,1.416,1.642,0.706,1.077,2.948,4.126,1.053,1.166,1.327,0,0,0,0,0,0,0,0,0,0,0,0.000273,0.001447,0.000281,0,0,0,0,1.03E-05,1.11E-05,0,0,0,0,0
"Peas, split, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beans, black, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.256,0.909,0.954,1.725,1.483,0.325,0.235,1.168,0.608,1.13,1.337,0.601,0.905,2.613,3.294,0.843,0.916,1.175,0,0,0,0,0,0,0,0.00021,0,0,0,0.0009,0.001955,0.000286,0.0664,0,0,0,6.67E-06,0,0,0.00509,0.00014,0,0
"Beans, pinto, mature seeds, raw",Legumes and Legume Products,,0,1.98,0.13,0,0.237,0.81,0.871,1.558,1.356,0.259,0.187,1.095,0.427,0.998,1.096,0.556,0.872,2.268,3.027,0.796,1.072,1.171,0,0,0,0,0,0,0,0.00021,0,0,0,0.000713,0.001174,0.000474,0.0662,0.0004,0,0,6.67E-06,0.000172667,0,0.00507,0.00014,0,0
"Beans, white, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.277,0.983,1.031,1.865,1.603,0.351,0.254,1.263,0.658,1.222,1.446,0.65,0.979,2.825,3.561,0.912,0.99,1.271,0,0,0,0,0,0,0,0.00021,0,0,0,0.000437,0.000479,0.000318,0.0662,0,0,0,0,1.00E-05,1.00E-05,1.00E-05,9.00E-05,0,0
"Winged beans, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.762,1.179,1.468,2.497,2.136,0.356,0.545,1.429,1.457,1.53,1.886,0.79,1.04,3.187,4.01,1.14,1.924,1.235,0,0,0,0,0,0,0,0,0,0,0,0.00103,0.00309,0.000175,0,0,0,0,0,0,0,0,0,0,0
"Beans, adzuki, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.191,0.674,0.791,1.668,1.497,0.21,0.184,1.052,0.591,1.023,1.284,0.524,1.16,2.355,3.099,0.756,0.874,0.976,0,0,0,0,0,0,0,0,0,0,0,0.000455,0.00263,0.000351,0,0,0,0,0.000356667,0.000233333,0,0,0,0,0
"Beans, french, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.223,0.792,0.831,1.502,1.291,0.283,0.205,1.017,0.53,0.984,1.165,0.524,0.789,2.276,2.869,0.734,0.798,1.023,0,0,0,0,0,0,0,0,0,0,0,0.000535,0.002083,0.000401,0,0,0,0,0,0,0,0,0,0,0
"Beans, yellow, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.26,0.926,0.972,1.756,1.51,0.331,0.239,1.19,0.62,1.151,1.362,0.612,0.922,2.661,3.355,0.859,0.933,1.197,0,0,0,0,0,0,0,0,0,0,0,0.00069,0.00243,0.000442,0,0,0,0,0.000257143,0.000171429,0,0,0,0,0
"Hyacinth beans, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.199,0.925,1.143,2.026,1.632,0.191,0.279,1.204,0.853,1.239,1.755,0.684,1.067,2.821,3.88,1.028,1.162,1.315,0,0,0,0,0,0,0,0,0,0,0,0.00113,0.00161,0.000155,0,0,0,0,0,0,0,0,0,0,0
"Yardlong beans, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.3,0.926,0.989,1.864,1.646,0.346,0.269,1.421,0.786,1.16,1.685,0.755,1.109,2.938,4.608,1.004,1.094,1.218,0,0,0,0,0,0,0,0,0,0,0,0.000887,0.002158,0.000371,0,0,0,0,0,0,0,0,0,0,0
"Lentils, green, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06E-05,5.22E-05,0,0,0,0,0
"Soybeans, green, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061695867,0.060068667,0.0070656,0,0,0,0
"Soybeans, black, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03741,0,0
"Cowpeas, catjang, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.294,0.908,0.969,1.828,1.614,0.34,0.263,1.393,0.771,1.137,1.652,0.74,1.088,2.881,4.518,0.985,1.072,1.194,0,0,0,0,0,0,0,0,0,0,0,0.00068,0.002795,0.000361,0,0,0,0,0,0,0,0,0,0,0
"Lima beans, large, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.254,0.927,1.129,1.85,1.438,0.271,0.237,1.236,0.759,1.291,1.315,0.656,1.095,2.767,3.038,0.906,0.975,1.428,0,0,0,0,0,0,0,0.00072,0,0,0,0.000507,0.001537,0.000512,0.0967,0,0,0,4.00E-05,8.00E-05,0,0,0,0,0
"Beans, kidney, red, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.267,0.948,0.995,1.799,1.547,0.339,0.245,1.218,0.634,1.179,1.395,0.627,0.945,2.725,3.436,0.88,0.955,1.226,0,0,0,0,0,0,0,0.00021,0,0,0,0.000608,0.00211,0.000397,0.0659,0,0,0,1.35E-05,1.00E-05,0,0.00505,0.00014,0,0
"Peas, green, split, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.275,0.872,1.014,1.76,1.772,0.251,0.373,1.132,0.711,1.159,2.188,0.597,1.08,2.896,4.196,1.092,1.014,1.08,0,0,0,0,0,0,0,9.00E-05,9.00E-05,0,0,0.000726,0.002889,0.000174,0.0955,0,0,0,0,0,0,0,0,0,0
"Beans, small white, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.25,0.888,0.932,1.685,1.449,0.317,0.23,1.141,0.594,1.104,1.307,0.588,0.885,2.553,3.218,0.824,0.895,1.148,0,0,0,0,0,0,0,0,0,0,0,0.000743,0.001342,0.000439,0,0,0,0,0,0.00037,0,0,0,0,0
"Peas, split, green, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032,0.000112182,0,0,0,0,0
"Beans, black turtle, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.252,0.894,0.938,1.697,1.459,0.32,0.231,1.149,0.598,1.112,1.316,0.592,0.891,2.57,3.24,0.83,0.901,1.156,0,0,0,0,0,0,0,0.00021,0,0,0,0.0009,0.001955,0.000286,0,0,0,0,0,0,0,0,0,0,0
"Beans, great northern, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.259,0.92,0.965,1.745,1.5,0.329,0.238,1.182,0.615,1.144,1.353,0.608,0.916,2.644,3.333,0.853,0.927,1.189,0,0,0,0,0,0,0,0.00022,0,0,0,0.000653,0.001955,0.000447,0,0,0,0,0,0,0,0,0,0,0
"Beans, scarlet runner, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40E-05,7.00E-05,0,0,0,0,0
"Pigeon peas (red gram), mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.212,0.767,0.785,1.549,1.521,0.243,0.25,1.858,0.538,0.937,1.299,0.774,0.972,2.146,5.031,0.802,0.955,1.028,0,0,0,0,0,0,0,0,0,0,0,0.000643,0.002965,0.000283,0,0,0,0,1.80E-05,0.00054,0,0,0,0,0
"Broadbeans (fava beans), mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.247,0.928,1.053,1.964,1.671,0.213,0.334,1.103,0.827,1.161,2.411,0.664,1.07,2.916,4.437,1.095,1.099,1.195,0,0,0,0,0,0,0,5.00E-05,0,0,0,0.000555,0.002832,0.000366,0.0958,0,0,0,0.000331874,0.000148385,0.000275,0,0,0,0
"Beans, kidney, all types, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.279,0.992,1.041,1.882,1.618,0.355,0.256,1.275,0.664,1.233,1.46,0.656,0.988,2.852,3.595,0.92,1,1.282,0,0,0,0,0,0,0,0.00022,0,0,0,0.000529,0.00206,0.000397,0,0,0,0,0,0,0,0,0,0,0
"Beans, cranberry (roman), mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.273,0.969,1.017,1.838,1.58,0.346,0.251,1.245,0.648,1.205,1.426,0.641,0.965,2.785,3.511,0.899,0.976,1.253,0,0,0,0,0,0,0,0,0,0,0,0.000747,0.001455,0.000309,0,0,0,0,0,0,1.00E-05,0,0,0,0
"Beans, kidney, royal red, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.3,1.066,1.118,2.022,1.738,0.381,0.276,1.37,0.713,1.325,1.568,0.705,1.062,3.063,3.862,0.989,1.074,1.378,0,0,0,0,0,0,0,0,0,0,0,0.00039,0.002106,0.000396,0,0,0,0,0,0,0,0,0,0,0
"Beans, kidney, california red, mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.289,1.026,1.076,1.946,1.673,0.367,0.265,1.318,0.686,1.275,1.509,0.679,1.022,2.948,3.717,0.952,1.034,1.326,0,0,0,0,0,0,0,0,0,0,0,0.000529,0.00206,0.000397,0,0,0,0,0,0,0,0,0,0,0
"Lima beans, thin seeded (baby), mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.244,0.891,1.085,1.778,1.382,0.261,0.228,1.188,0.729,1.24,1.264,0.63,1.052,2.659,2.92,0.871,0.937,1.372,0,0,0,0,0,0,0,0.0007,0,0,0,0.000574,0.001712,0.000327,0,0,0,0,0,0,0,0,0,0,0
"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.2,0.766,0.882,1.465,1.377,0.27,0.279,1.103,0.512,0.865,1.939,0.566,0.882,2.422,3.603,0.857,0.849,1.036,0,0,0,0,0,0,0,0.00082,0,0,0,0.000477,0.001541,0.000535,0.0993,0,0,0,0.00021,6.48E-05,0.00018,0,0,0,0
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw",Legumes and Legume Products,,0,0,0,0,0.29,0.895,0.956,1.802,1.591,0.335,0.26,1.373,0.76,1.121,1.629,0.73,1.072,2.84,4.454,0.971,1.057,1.178,0,0,0,0,0,0,0,0.00039,0,0,0,0.000853,0.002075,0.000357,0.0947,0,0,0,1.25E-05,1.70E-05,0,0,0,0,0
"Nuts, chestnuts, european, raw, peeled",Nut and Seed Products,,0,0,0,0,0.018,0.058,0.064,0.096,0.096,0.038,0.052,0.069,0.045,0.091,0.116,0.045,0.109,0.281,0.21,0.084,0.086,0.081,0,0,0,0,0,0,0,0,0,0,0,0.000144,0.001102,0.000352,0,0,0,0,0,0,0,1.00E-05,0,0,0
"Nuts, formulated, wheat-based, all flavors except macadamia, without salt",Nut and Seed Products,,0,0,0,0,0.172,0.552,0.552,0.972,0.886,0.274,0.226,0.586,0.486,0.712,0.981,0.38,0.753,1.194,2.433,0.699,0.857,0.674,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0015,0.000348,0,0,0,0,0,0,0,0,0,0,0
"Nuts, acorns, raw",Nut and Seed Products,,0,0,0,0,0.074,0.236,0.285,0.489,0.384,0.103,0.109,0.269,0.187,0.345,0.473,0.17,0.35,0.635,0.986,0.285,0.246,0.261,0,0,0,0,0,0,0,0,0,0,0,0.000112,0.001827,0.000528,0,0,0,0,0,0,0,0,0,0,0
"Nuts, cashew nuts, raw",Nut and Seed Products,,0,5.81,0.05,0.05,0.287,0.688,0.789,1.472,0.928,0.362,0.393,0.951,0.508,1.094,2.123,0.456,0.837,1.795,4.506,0.937,0.812,1.079,0,0,0,0.015,0,0,0,0.0009,0.00036,0,0.0002,0.000423,0.001062,0.000417,0,0,0,0.113,0,1.00E-05,0,0,0,0,0
"Nuts, ginkgo nuts, raw",Nut and Seed Products,,0,0,0,0,0.071,0.268,0.209,0.316,0.206,0.055,0.023,0.171,0.061,0.283,0.42,0.102,0.247,0.543,0.836,0.232,0.347,0.29,0,0,0,0,0,0,0,0,0,0,0,0.00022,0.006,0.000328,0,0,0,0,0,0,0,0,0,0,0
"Seeds, lotus seeds, raw",Nut and Seed Products,,0,0,0,0,0.059,0.2,0.205,0.326,0.264,0.072,0.054,0.206,0.1,0.266,0.338,0.115,0.239,0.505,0.957,0.221,0.344,0.252,0,0,0,0,0,0,0,0,0,0,0,0.000171,0.000429,0.000168,0,0,0,0,0,0,0,0,0,0,0
"Nuts, pistachio nuts, raw",Nut and Seed Products,,0,6.87,0.32,0.24,0.251,0.684,0.917,1.604,1.138,0.36,0.292,1.092,0.509,1.249,2.134,0.512,0.973,1.884,4.3,1.009,0.938,1.283,0,0,0.012,0,0,14.091,0,0.00286,0.0008,0,0.00167,0.00087,0.0013,0.0017,0,0,0.005,0.198,0.001875,0.00175,0,0.00357,0.00083,0,0
"Nuts, macadamia nuts, raw",Nut and Seed Products,,0,4.43,0.07,0.07,0.067,0.37,0.314,0.602,0.018,0.023,0.006,0.665,0.511,0.363,1.402,0.195,0.388,1.099,2.267,0.454,0.468,0.419,0,0,0,0,0,0,0,0.00054,0,0,0,0.001195,0.002473,0.000275,0,0,0,0.108,0,0,0,0,0,0,0
"Seeds, breadfruit seeds, raw",Nut and Seed Products,,0,0,0,0,0.123,0.385,0.443,0.563,0.57,0.096,0.116,0.797,0.544,0.535,0.494,0.207,0.336,0.817,1.036,0.465,0.369,0.496,0,0,0,0,0,0,0,0,0,0,0,0.000482,0.000438,0.00032,0,0,0,0,0,0,0,0,0,0,0
"Nuts, chestnuts, chinese, raw",Nut and Seed Products,,0,0,0,0,0.049,0.167,0.157,0.259,0.228,0.101,0.11,0.19,0.125,0.22,0.43,0.121,0.2,0.852,0.537,0.184,0.162,0.184,0,0,0,0,0,0,0,0,0,0,0,0.00016,0.0008,0.00041,0,0,0,0,0,0,0,0,0,0,0
"Nuts, chestnuts, japanese, raw",Nut and Seed Products,,0,0,0,0,0.032,0.09,0.111,0.139,0.147,0.054,0.065,0.088,0.064,0.134,0.148,0.056,0.203,0.474,0.429,0.114,0.141,0.11,0,0,0,0,0,0,0,0,0,0,0,0.000344,0.0015,0.000283,0,0,0,0,0,0,0,0,0,0,0
"Seeds, breadnut tree seeds, raw",Nut and Seed Products,,0,0,0,0,0.162,0.232,0.338,0.647,0.26,0.035,0.093,0.282,0.439,0.578,0.549,0.091,0.271,0.659,0.835,0.375,0.297,0.4,0,0,0,0,0,0,0,0,0,0,0,5.50E-05,0.00088,0.000403,0,0,0,0,0,0,0,0,0,0,0
"Nuts, almonds",Nut and Seed Products,,0,3.95,0.17,0.11,0.211,0.601,0.751,1.473,0.568,0.157,0.215,1.132,0.45,0.855,2.465,0.539,0.999,2.639,6.206,1.429,0.969,0.912,0,0,0,0,0.002,12.32,0.003,0.02563,7.00E-05,0,0,0.000205,0.003618,0.000137,0.0521,0.0005,0.004,0.13,0,5.00E-06,0,0.00128,0.0006,0,0
"Nuts, hazelnuts or filberts",Nut and Seed Products,,0,4.2,0.07,0.07,0.193,0.497,0.545,1.063,0.42,0.221,0.277,0.663,0.362,0.701,2.211,0.432,0.73,1.679,3.71,0.724,0.561,0.735,0,0,0,0,0,0,0,0.01503,0,0,0,0.000643,0.0018,0.000563,0.0456,0.0004,0.001,0.102,5.00E-06,2.00E-05,0,0.00119,0.00022,0,0
"Nuts, pecans",Nut and Seed Products,,9.00E-06,3.9,0.04,0.04,0.093,0.306,0.336,0.598,0.287,0.183,0.152,0.426,0.215,0.411,1.177,0.262,0.397,0.929,1.829,0.453,0.363,0.474,0,0,0,0,0,0,0,0.0014,0.00047,0,0,0.00066,0.001167,0.00021,0.0405,0.0007,0.003,0.117,0,0,0,0.00724,0.00082,0,0
"Nuts, walnuts, english",Nut and Seed Products,,0,2.43,0.08,0.09,0.17,0.596,0.625,1.17,0.424,0.236,0.208,0.711,0.406,0.753,2.278,0.391,0.696,1.829,2.816,0.816,0.706,0.934,0,0,0,0,0,0,0,0.0007,0.00189,0,0,0.000341,0.001125,0.000537,0.0392,0.0003,0,0.087,2.00E-05,1.00E-05,0,0,0,0,0
"Seeds, flaxseed",Nut and Seed Products,,0,1.15,0.4,0,0.297,0.766,0.896,1.235,0.862,0.37,0.34,0.957,0.493,1.072,1.925,0.472,0.925,2.046,4.039,1.248,0.806,0.97,0.175,0,0,0,0.007,0,0,0.00031,0.00035,0,0,0.001644,0.00308,0.000473,0.0787,0.0031,0.011,0.09,1.50E-05,4.25E-05,6.00E-05,0,0,0,0
"Seeds, hemp seed, hulled",Nut and Seed Products,,0,0.85,0.2,0.31,0.369,1.269,1.286,2.163,1.276,0.933,0.672,1.447,1.263,1.777,4.55,0.969,1.528,3.662,6.269,1.611,1.597,1.713,0,0,0,0,0,27.358,8.684,0.0008,0,0,0,0.001275,0.0092,0.0006,0,0,0,0,0,0,0,0,0,0,0
"Nuts, walnuts (not specified at to type, purchased in Hungary)",Nut and Seed Products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spices, caraway seed",Spices and Herbs,,1.60E-05,0,0,0,0.244,0.756,0.826,1.218,1.031,0.361,0.329,0.867,0.642,1.037,1.252,0.55,0.914,2.084,3.169,1.322,0.917,0.946,0,0,0,0,0,0,0,0.0025,0,0,0,0.000383,0.003606,0.00036,0.0247,0,0,0,0,0,0,0,0,0,0
"Spices, celery seed",Spices and Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107,0,0,0,0.00034,0.00306,0.00089,0.0247,0,0,0,0,0,0,0,0,0.07865,0.7624
"Spices, cumin seed",Spices and Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333,0,0,0,0.000628,0.004579,0.000435,0.0247,0,0,0,0,0,0,0,0,0,0
"Spices, pepper, black",Spices and Herbs,,2.50E-05,0.02,0.24,0.23,0.058,0.244,0.366,1.014,0.244,0.096,0.138,0.446,0.483,0.547,0.308,0.159,0.616,1.413,1.413,0.441,1.413,0.409,0,0,0.012,0.102,0,0,0.152,0.00104,0,0.00085,0,0.000108,0.001143,0.000291,0.0113,0.0089,0,0,0,0,0,0,0,0,0
"Spices, pepper, red or cayenne",Spices and Herbs,,0.006252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02983,0,0,0,0.000328,0.008701,0.00245,0.0515,0,0,0,0,0,0,0,0,0,0.02042
"Spices, poppy seed",Spices and Herbs,,0,2.33,0.37,0.29,0.184,0.686,0.819,1.321,0.952,0.502,0.297,0.758,0.727,1.095,1.945,0.471,0.839,2.365,4.299,0.952,2.754,0.952,0,0,0.037,0,0,0,0.273,0.00177,0.00023,0.00015,0.00013,0.000854,0.000896,0.000247,0.0088,0.0009,0.007,0.109,0,0,0,0,0,0,0
"Basil, fresh",Spices and Herbs,,4.60E-05,0,0.02,0.02,0.039,0.104,0.104,0.191,0.11,0.036,0.028,0.13,0.077,0.127,0.117,0.051,0.132,0.301,0.277,0.122,0.104,0.099,0,0,0,0,0,0,0,0.0008,0,0,0,3.40E-05,0.000902,0.000155,0.0114,0.0004,0,0,0,0,0,0,0,0,0
"Vinegar, balsamic",Spices and Herbs,,0,0,7.57,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spices, fennel seed",Spices and Herbs,,0,0,0,0,0.253,0.602,0.695,0.996,0.758,0.301,0.222,0.647,0.41,0.915,0.68,0.331,0.789,1.833,2.956,1.107,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0.000408,0.00605,0.00047,0,0,0,0,0,0,0,0,0,0,0
"Spices, fenugreek seed",Spices and Herbs,,0,0,0,0,0.391,0.898,1.241,1.757,1.684,0.338,0.369,1.089,0.764,1.102,2.465,0.668,1.02,2.708,3.988,1.306,1.198,1.215,0,0,0,0,0,0,0,0,0,0,0,0.000322,0.00164,0.0006,0,0,0,0,1.00E-05,1.00E-05,0,0,0,0,0
"Dill weed, fresh",Spices and Herbs,,0,0,0,0,0.014,0.068,0.195,0.159,0.246,0.011,0.017,0.065,0.096,0.154,0.142,0.071,0.227,0.343,0.29,0.169,0.248,0.158,0,0,0,0,0,0,0,0,0,0,0,5.80E-05,0.00157,0.000185,0,0,0,0,0,0,0,0,0,0,0
"Thyme, fresh",Spices and Herbs,,0,0,0,0,0.114,0.154,0.285,0.262,0.126,0,0,0,0,0.307,0,0,0,0,0,0,0,0,0,0,0,0.041,0,0,0,0,0,0,0,4.80E-05,0.001824,0.000348,0,0,0,0,0,0,0,0,0,0.0025,0.04525
"Rosemary, fresh",Spices and Herbs,,0,0,0,0,0.051,0.136,0.136,0.249,0.143,0.047,0.037,0.169,0.1,0.165,0.153,0.066,0.172,0.391,0.361,0.159,0.136,0.129,0,0,0,0,0,0,0,0,0,0,0,3.60E-05,0.000912,0.000336,0,0,0,0,0,0,0,0,0,0.00055,0.002
"Peppermint, fresh",Spices and Herbs,,0,0,0,0,0.058,0.154,0.154,0.281,0.161,0.053,0.041,0.191,0.113,0.187,0.173,0.075,0.195,0.443,0.409,0.18,0.154,0.146,0,0,0,0,0,0,0,0,0,0,0,8.20E-05,0.001706,0.000129,0,0,0,0,0,0,0,0,0,0.00539,0.01266
"Spearmint, fresh",Spices and Herbs,,0,0,0,0,0.05,0.135,0.135,0.247,0.141,0.046,0.036,0.168,0.099,0.164,0.151,0.066,0.171,0.388,0.358,0.158,0.135,0.128,0,0,0,0,0,0,0,0,0,0,0,7.80E-05,0.000948,0.000158,0,0,0,0,0,0,0,0,0,0,0
"Spices, dill seed",Spices and Herbs,,0,0,0,0,0,0.575,0.767,0.925,1.038,0.143,0,0.67,0,1.12,1.263,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000418,0.002807,0.00025,0,0,0,0,0,0,0,0,0,0,0
"Spices, anise seed",Spices and Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034,0.00306,0.00065,0,0,0,0,0,0,0,0,0,0,0
"Spices, bay leaf",Spices and Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,9.00E-06,0.002005,0.00174,0,0,0,0,0,0,0,0,0,0,0
"Spices, saffron",Spices and Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115,0.00146,0.00101,0,0,0,0,0,0,0,0,0,0,0
"Spices, cardamom",Spices and Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000198,0.001102,0.00023,0,0,0,0,0,0,0,0,0,0,0
"Spices, coriander seed",Spices and Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000239,0.00213,0,0,0,0,0,0,0,0,0,0,0,0
"Spices, pepper, white",Spices and Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20E-05,0.000212,0.0001,0,0,0,0,0,0,0,0,0,0,0
"Oregano, fresh",Spices and Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257,0.001
"Sage, fresh",Spices and Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0167
"Tarragon, fresh",Spices and Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
"Oregano, Mexican, fresh",Spices and Herbs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251
